track_name,artist,genre,release_year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_ms,popularity
Red Away,Yo-Yo Ma,classical,2006,0.1778,0.4253,0.4613,0.8817,0.7619,0.0269,80.0,-10.7,217210,16
Dreams Love Break,Jason Aldean,country,1999,0.4698,0.4046,0.7083,0.4003,0.0019,0.0853,144.1,-7.5,242506,16
Echo,Sufjan Stevens,indie,2023,0.7256,0.6411,0.3898,0.4042,0.0339,0.0,98.5,-8.0,167669,56
Waves,Bon Iver,indie,1995,0.1484,0.3723,0.6107,0.6722,0.3022,0.0864,97.7,-11.5,128503,20
Love,H.E.R.,r&b,1997,0.6823,0.6409,0.4466,0.3581,0.0,0.0677,131.0,-4.5,221674,44
Crystal Echo,Mac DeMarco,indie,2000,0.7873,0.3339,0.3509,0.4072,0.0,0.018,114.9,-7.1,201222,63
Shine Break,Ed Sheeran,pop,2001,0.7829,0.7513,0.5169,0.4792,0.0253,0.0815,142.0,-4.8,252292,69
Rise Gold Rain,Red Hot Chili Peppers,rock,1998,0.5733,0.8921,0.5181,0.3992,0.0358,0.025,107.3,-3.5,201459,42
Crystal Glow Sunset,Ariana Grande,pop,1991,0.5176,0.6473,0.4979,0.099,0.0064,0.1258,122.6,-7.3,190746,44
Midnight,Post Malone,hip-hop,1997,0.6873,0.8728,0.6794,0.1691,0.0,0.3414,105.8,-5.3,213287,50
Rise Stars Light,Travis Scott,hip-hop,2000,0.5373,0.6544,0.5543,0.2791,0.0124,0.2844,119.6,-7.1,146596,52
Gone,Arctic Monkeys,rock,1999,0.7601,0.8879,0.1485,0.0916,0.1079,0.0486,143.0,-2.5,295823,48
Wild Fever,Herbie Hancock,jazz,2010,0.5657,0.3163,0.554,0.6374,0.2943,0.0648,107.5,-8.9,265526,35
Rise Glow,Megan Thee Stallion,hip-hop,2009,0.7056,0.431,0.273,0.1161,0.0287,0.3482,100.4,-7.8,193237,39
High Echo Found,Foo Fighters,rock,1997,0.4908,0.9243,0.1869,0.1512,0.1014,0.0779,139.6,-7.8,260930,48
Crystal,Tiësto,electronic,2018,0.6268,0.8022,0.5305,0.1098,0.1635,0.0074,139.0,-8.6,208235,65
Red,Olivia Rodrigo,pop,2001,0.594,0.6722,0.5442,0.1672,0.0249,0.0785,87.9,-6.5,208983,64
Break Shadow Gone,Morgan Wallen,country,2003,0.4794,0.627,0.6914,0.0765,0.0301,0.0792,129.9,-9.3,195328,66
Gold Storm Found,Ed Sheeran,pop,2010,0.5209,0.7404,0.4676,0.357,0.0432,0.0552,115.7,-7.4,146125,42
Echo Lost Dreams,Itzhak Perlman,classical,2011,0.0622,0.1599,0.4645,0.9268,0.8716,0.0209,82.3,-10.0,207682,27
Silver,Jason Aldean,country,2010,0.6376,0.548,0.4654,0.5821,0.0016,0.0238,75.3,-9.6,172261,44
Echo Electric Love,Muse,rock,2019,0.2708,0.878,0.8313,0.1686,0.0663,0.0266,120.2,-4.0,260930,65
Silver,Billie Eilish,pop,2009,0.5001,0.6493,0.7626,0.2188,0.0529,0.1577,91.7,-3.7,269646,51
Wild,Kane Brown,country,2013,0.5691,0.4755,0.5376,0.252,0.0139,0.0212,126.4,-2.1,158051,61
Shadow Home,Shakira,latin,2012,0.9481,0.7789,0.494,0.1558,0.0192,0.0613,98.7,-4.6,165751,55
Gone Rain Stay,Rosalía,latin,1996,0.7133,0.8205,0.9456,0.3206,0.0,0.1896,137.0,-6.1,175110,75
Dance Love Lost,Luke Combs,country,1998,0.5456,0.4418,0.753,0.2361,0.0,0.053,117.4,-6.6,200797,65
Rise Free Rain,Harry Styles,pop,1990,0.8445,0.7583,0.8244,0.2551,0.0418,0.0,101.5,-5.9,212753,59
Rush Fever Shadow,Drake,hip-hop,2015,0.9505,0.6209,0.5556,0.0,0.0094,0.2134,70.6,-8.3,232012,64
Neon Heart Dance,Ariana Grande,pop,2011,0.6889,0.5756,0.396,0.159,0.0,0.0562,96.5,-10.6,255808,40
Free Break,Esperanza Spalding,jazz,1999,0.6785,0.2807,0.7323,0.6744,0.0809,0.0454,77.4,-9.3,211374,51
Shadow,Khalid,r&b,1995,0.6398,0.6348,0.5545,0.4855,0.0587,0.1184,115.8,-6.5,232010,48
Glow Dreams,Megan Thee Stallion,hip-hop,2006,0.8128,0.7937,0.4495,0.101,0.0205,0.2688,72.5,-5.2,192214,64
Break,Ariana Grande,pop,2013,0.6241,0.6242,0.7372,0.0939,0.0576,0.0882,166.3,-7.7,267383,68
Rush Break,Travis Scott,hip-hop,1999,0.7927,0.9283,0.9103,0.0348,0.0046,0.3033,115.8,-5.7,198446,84
Storm Gone Echo,Drake,hip-hop,1997,0.6421,0.768,0.2752,0.0677,0.0276,0.1248,86.0,-6.7,234322,69
Home Dance,Maluma,latin,2010,0.9109,0.8516,0.7511,0.2168,0.0,0.0913,118.9,-5.4,241819,70
Silver Light,Khalid,r&b,1995,0.9485,0.2193,0.6597,0.0624,0.0,0.1638,95.1,-5.4,272101,57
Stars High,Sufjan Stevens,indie,2010,0.5369,0.46,0.6741,0.3926,0.1004,0.0571,96.4,-9.6,210161,48
Wild Stay Break,David Guetta,electronic,2013,0.685,0.7458,0.3826,0.0208,0.4217,0.0799,139.6,-7.1,194684,58
Stay Shadow,Taylor Swift,pop,2022,0.5237,0.7359,0.3229,0.0,0.0629,0.067,129.4,-3.8,212300,55
Red Echo,Bad Bunny,latin,2007,0.8629,0.4959,1.0,0.0881,0.0197,0.0574,92.5,-8.0,214645,44
Rise,Luke Combs,country,2017,0.5035,0.6998,0.4421,0.1179,0.0,0.0,138.2,-10.8,222331,53
Lost,Chris Brown,r&b,2021,0.606,0.5461,0.2579,0.5571,0.0,0.0869,135.5,-10.3,205066,53
Dreams,Luke Combs,country,2001,0.5282,0.2588,0.7791,0.2485,0.04,0.0192,110.6,-10.1,261597,51
Lost Crystal,Tiësto,electronic,2016,0.781,0.7418,0.446,0.1027,0.2432,0.0545,113.8,-6.6,240850,65
Break Red,Avicii,electronic,1999,0.6619,0.7634,0.4366,0.1061,0.3477,0.0804,133.8,-8.5,135186,37
Night,Megan Thee Stallion,hip-hop,2021,0.7408,0.5915,0.8118,0.1752,0.0065,0.0,86.1,-8.1,203412,76
Electric Waves Night,Dua Lipa,pop,2015,0.6697,0.6375,0.3765,0.2262,0.0355,0.0963,90.7,-4.8,241250,53
Midnight,Justin Bieber,pop,2014,0.8294,0.7924,0.605,0.5314,0.0041,0.1751,155.1,-2.6,206772,68
Home Free Rain,Adele,pop,2000,0.5819,0.7615,0.6022,0.2066,0.0479,0.047,107.6,-6.0,181193,60
Light Night,Alicia Keys,r&b,2012,0.8774,0.5147,0.3621,0.1767,0.0035,0.0643,84.4,-9.8,172680,67
Storm Fire Lost,Travis Scott,hip-hop,2023,0.6057,0.5348,0.4926,0.2341,0.023,0.0,97.7,-4.8,174001,48
Fire Waves Red,Calvin Harris,electronic,2012,0.744,0.7731,0.4661,0.0,0.0861,0.0264,160.5,-5.3,207013,64
Rain,Fleet Foxes,indie,2018,0.7614,0.3379,0.3238,0.2371,0.112,0.0,149.9,-7.9,223416,57
Storm Lost Gold,Red Hot Chili Peppers,rock,2020,0.608,0.6457,0.5574,0.1865,0.0,0.0262,103.1,-5.7,212179,50
Fall,Tyler the Creator,hip-hop,1996,0.7525,0.6389,0.6342,0.0211,0.025,0.1417,133.1,-9.8,230279,55
Dreams Light Glow,Kane Brown,country,2022,0.5649,0.8237,0.6233,0.1166,0.0173,0.0473,109.1,-5.6,134955,78
Gold Silver Dance,Red Hot Chili Peppers,rock,2010,0.5155,0.8061,0.2378,0.3014,0.0619,0.0226,136.6,-4.8,292661,44
Waves,Harry Styles,pop,1991,0.7946,0.8386,0.3941,0.0203,0.0,0.0913,118.8,-6.9,303659,51
Gold Shine,Coldplay,rock,2007,0.4,0.7347,1.0,0.0,0.0,0.0085,147.0,-5.9,190260,48
Gold Rise,The Weeknd,pop,2022,0.4308,0.7216,0.6973,0.0807,0.011,0.0361,109.7,-7.7,229605,81
Waves Electric Low,Vampire Weekend,indie,2023,0.4547,0.521,0.7034,0.3678,0.1423,0.0524,105.3,-14.4,244592,63
Love Pulse Waves,Luke Bryan,country,2009,0.493,0.5087,0.9604,0.3783,0.0093,0.0485,166.8,-1.6,267770,88
Blue,Alicia Keys,r&b,2024,0.673,0.5698,0.6823,0.1844,0.0436,0.0684,111.9,-4.7,168160,74
Gold Rain Love,Beach House,indie,2007,0.6197,0.673,0.4201,0.3083,0.0,0.0692,105.5,-7.3,205440,37
Fever Break Echo,Luke Bryan,country,2013,0.5242,0.8055,0.5781,0.2883,0.03,0.0755,148.9,-5.4,261581,55
Lost Pulse Fall,Arctic Monkeys,rock,1997,0.3964,0.725,0.5199,0.1911,0.0855,0.083,96.5,-6.9,220330,37
Shine,Fleet Foxes,indie,2019,0.7061,0.4857,0.2305,0.3714,0.066,0.076,110.0,-2.8,151964,68
Echo Fall Fire,Marshmello,electronic,1999,0.7778,0.5611,0.2331,0.0154,0.3296,0.0298,127.4,-5.4,202838,43
Free,Kane Brown,country,2012,0.5476,0.4195,0.6995,0.3925,0.0385,0.0301,119.6,-10.7,160315,31
Night Light Found,The Strokes,indie,2000,0.4392,0.3384,1.0,0.3189,0.0511,0.0545,114.7,-7.6,267912,45
Silver Gone,Tyler the Creator,hip-hop,1991,0.8649,0.8305,0.4332,0.095,0.0,0.1457,97.3,-7.5,182019,38
Blue Rush,Billie Eilish,pop,2015,0.7566,0.6653,0.5534,0.2059,0.0874,0.074,87.9,-7.8,243212,60
Dance Lost,Muse,rock,2022,0.5266,0.7469,0.3557,0.0285,0.1268,0.0372,135.4,-6.1,161263,67
Fire Electric,Tyler the Creator,hip-hop,2002,0.8443,0.5001,0.9827,0.2717,0.0,0.2039,129.8,-7.6,148514,64
Wild Shine,Zach Bryan,country,2014,0.6081,0.7407,0.6107,0.4166,0.0,0.0859,114.5,-9.4,328255,79
Fall Neon Fever,John Coltrane,jazz,1993,0.4486,0.1267,0.5462,0.7397,0.3852,0.0697,112.3,-14.4,254643,28
Night,Olivia Rodrigo,pop,2008,0.6515,0.8365,0.6976,0.4565,0.0053,0.119,99.9,-5.5,259743,71
Shadow,Marshmello,electronic,2007,0.7272,0.7244,0.1861,0.0387,0.4653,0.0248,124.9,-2.3,186629,56
Stay Dreams,Travis Scott,hip-hop,2019,0.7088,0.7968,0.482,0.2809,0.0037,0.1548,82.6,-7.0,131989,39
Crystal Silver,The Killers,rock,2008,0.3151,0.8058,0.6647,0.2543,0.0,0.0125,119.3,-1.9,239051,59
Echo,Billie Eilish,pop,2012,0.6839,0.7694,0.3458,0.1311,0.0,0.1021,133.1,-9.3,217130,58
Found,Post Malone,hip-hop,2005,0.7908,0.5294,0.4287,0.0,0.0061,0.1495,112.5,-7.6,213750,53
Silver,Tame Impala,indie,1990,0.5755,0.5115,0.4523,0.0119,0.0889,0.0068,79.4,-2.0,208785,35
Stay Fall,Kendrick Lamar,hip-hop,2001,0.7198,0.6818,0.548,0.0667,0.0067,0.1232,109.2,-7.8,152951,75
Heart,Deadmau5,electronic,2013,0.6224,0.7317,0.5528,0.0969,0.0,0.102,135.6,-3.8,216873,72
Sunset Midnight Free,Rosalía,latin,2023,0.8522,0.7449,0.4789,0.1678,0.0,0.0528,80.3,-0.0,139528,100
Red Midnight Stars,Lil Nas X,hip-hop,1997,0.806,0.8295,0.4176,0.0206,0.0,0.0924,66.8,-2.5,248456,33
Rise,Lang Lang,classical,2007,0.1337,0.0977,0.0313,0.7616,1.0,0.0364,62.9,-17.2,211649,12
Rush Dance,Itzhak Perlman,classical,1994,0.0727,0.2748,0.3482,1.0,0.6395,0.0931,122.7,-7.7,250736,3
Free Found,Muse,rock,2015,0.4824,0.8743,0.6846,0.0871,0.1872,0.0594,104.1,-4.3,192765,68
Light,Zedd,electronic,2019,0.8914,0.8662,0.2619,0.0457,0.281,0.074,165.9,-4.3,120000,64
Stay High Lost,Kanye West,hip-hop,2002,0.6842,0.6743,0.3303,0.1217,0.0166,0.3479,72.3,-4.8,276655,62
Free Love,Arctic Monkeys,rock,2008,0.4167,0.5129,0.4739,0.2927,0.0701,0.0393,129.8,-1.3,170619,45
Silver,Olivia Rodrigo,pop,2018,0.5774,0.7755,0.3906,0.0841,0.0,0.0885,115.1,-9.0,218720,73
Gold Fever Lost,Khalid,r&b,1992,0.6336,0.4438,0.8781,0.4513,0.0617,0.0897,110.9,-8.5,177893,52
Silver Home Sunset,Martin Garrix,electronic,2015,0.7263,0.7584,0.3494,0.1309,0.5278,0.0619,113.1,-6.7,188303,68
Wild Storm Glow,Olivia Rodrigo,pop,2001,0.5208,0.5852,0.6216,0.0029,0.0906,0.0367,109.0,-8.0,252064,77
Glow Neon Stars,Foo Fighters,rock,1991,0.6482,0.9027,0.5378,0.113,0.1301,0.0536,143.3,-6.6,183598,56
Pulse Rain,Mac DeMarco,indie,2000,0.5671,0.6875,0.5992,0.2794,0.2863,0.0916,117.3,-5.2,265797,61
Rain Love,The Killers,rock,2017,0.5701,0.6223,0.5287,0.2391,0.1012,0.0124,148.1,-4.1,234999,46
Gone Dreams Found,Billie Eilish,pop,2007,0.5225,0.6837,0.6028,0.403,0.0197,0.1268,130.6,-5.7,160971,35
Gold,Zedd,electronic,2002,0.5841,0.7847,0.2989,0.0976,0.738,0.0311,147.2,-7.9,219030,55
Wild,Yuja Wang,classical,2011,0.3629,0.0,0.1108,0.8893,1.0,0.0694,138.3,-23.8,162760,11
Dance Stars,Pearl Jam,rock,2001,0.4443,0.6953,0.4948,0.2019,0.0,0.0406,119.0,-7.9,175523,58
Pulse Heart Fire,J Balvin,latin,1991,0.9476,0.7873,0.7221,0.2139,0.0055,0.0886,99.3,-5.1,120000,68
Electric Echo Neon,Luke Combs,country,1996,0.5745,0.4389,0.6775,0.2588,0.0,0.0656,109.4,-4.2,259426,41
Dreams Silver,Foo Fighters,rock,2015,0.4909,0.7971,0.7806,0.2494,0.1156,0.0421,124.9,-4.2,182711,33
Storm,Maluma,latin,2015,0.7959,0.731,0.6296,0.0,0.0781,0.0429,85.1,-5.5,166733,68
Dreams,Cardi B,hip-hop,2013,0.8076,0.4171,0.9277,0.0,0.0131,0.165,102.3,-3.8,178148,61
Fall,Khalid,r&b,2001,0.5648,0.5893,0.6273,0.3012,0.0469,0.1908,84.8,-6.3,124350,40
Echo Electric,Frank Ocean,r&b,2005,0.6548,0.5018,0.4223,0.3401,0.0629,0.0818,113.4,-5.2,234936,42
Crystal Red Stars,Avicii,electronic,2012,0.8154,0.8757,0.4584,0.0403,0.2375,0.0496,146.8,-2.6,261097,56
Rise Dreams Shadow,The Weeknd,pop,1998,0.6427,0.7222,0.657,0.0,0.0472,0.1217,103.9,-2.9,120000,61
Gone,Norah Jones,jazz,2021,0.407,0.3872,0.498,0.6777,0.1479,0.0,111.4,-13.1,213175,31
Gold Stars,Travis Scott,hip-hop,2004,0.7607,0.3224,0.5759,0.1325,0.0,0.3228,60.0,-6.0,263891,54
Red,Pearl Jam,rock,2002,0.5682,0.6746,0.1937,0.1414,0.0,0.0737,141.3,-8.8,172726,30
Midnight Gone Red,Adele,pop,1994,0.6656,0.7914,0.5666,0.0876,0.0,0.0986,73.5,-10.4,147088,64
Shine Away,Summer Walker,r&b,2000,0.6784,0.4481,0.2864,0.2347,0.0557,0.0162,136.8,-6.6,245166,56
Light,Ozuna,latin,1999,0.6997,0.9531,0.5688,0.2015,0.0335,0.0332,142.2,-3.4,280127,52
Electric Sunset Rise,Harry Styles,pop,2002,0.6878,0.5738,0.384,0.1963,0.0305,0.0,137.0,-7.2,150071,62
Midnight Love,Avicii,electronic,2004,0.8322,0.9514,0.5951,0.0846,0.6415,0.0728,137.0,-5.0,179137,75
Break,Radiohead,rock,1996,0.6087,0.8566,0.1812,0.2863,0.0443,0.0733,112.9,-8.1,248063,54
Waves Away,Daniel Caesar,r&b,2017,0.6066,0.6616,0.7736,0.1721,0.0,0.0978,119.3,-8.8,284730,61
Home Light,Justin Bieber,pop,2021,0.5302,0.8503,0.5667,0.3376,0.0463,0.1067,123.6,-5.4,207166,68
Love Found Shadow,Bad Bunny,latin,2024,0.8897,0.6161,0.6165,0.0896,0.0221,0.0844,129.3,-4.9,192374,51
Waves,Drake,hip-hop,2004,0.8065,0.862,0.0283,0.2479,0.0111,0.2235,84.3,-7.9,231998,84
Midnight Free Heart,Sufjan Stevens,indie,2010,0.5087,0.7383,0.4242,0.5606,0.0046,0.0297,98.2,-9.4,254162,39
Shine Blue,Billie Eilish,pop,1995,0.7427,0.8029,0.731,0.2746,0.0307,0.1771,132.1,-8.1,126162,56
Light Away,Kanye West,hip-hop,1990,0.6383,0.5609,0.7895,0.3571,0.0,0.2843,112.4,-0.8,184866,59
Stay Light,Olivia Rodrigo,pop,1993,0.6881,0.8028,0.3388,0.1332,0.0,0.1127,101.5,-4.6,200245,47
Rain Rush,Mitski,indie,2000,0.7212,0.6985,0.677,0.6205,0.1029,0.0353,118.0,-6.3,222466,32
Rain Wild Crystal,Fleet Foxes,indie,2015,0.3766,0.7689,0.576,0.0,0.0495,0.0917,116.3,-9.7,198635,58
Storm,Red Hot Chili Peppers,rock,2012,0.4616,0.7424,0.0656,0.2623,0.0677,0.0953,135.2,-5.1,143129,27
Pulse Midnight Storm,J Balvin,latin,2018,0.9928,0.8123,0.6283,0.2429,0.0476,0.1044,92.3,-5.3,166084,71
Light Red Shine,Kacey Musgraves,country,2010,0.5583,0.4855,0.369,0.2559,0.0597,0.0441,126.5,-10.1,127031,38
Crystal Love Rush,Frank Ocean,r&b,2016,0.6687,0.2938,0.0283,0.0512,0.0297,0.0998,127.4,-10.8,200817,28
Pulse,Skrillex,electronic,2002,0.6811,0.8085,0.6819,0.051,0.0,0.0884,117.6,-3.3,241328,79
Silver Red Waves,Muse,rock,2012,0.4094,0.6198,0.5367,0.2752,0.0,0.04,119.7,-6.3,190767,42
Love Shadow,Justin Bieber,pop,2005,0.8597,0.5352,0.1364,0.2803,0.0513,0.0,112.2,-8.5,223935,52
Shadow Dreams,Mac DeMarco,indie,2019,0.5401,0.387,0.3553,0.207,0.1998,0.0516,105.9,-8.5,163221,46
Rush,Fleet Foxes,indie,1993,0.4148,0.547,0.4993,0.6318,0.1483,0.1403,122.6,-7.7,225219,40
Pulse Heart Away,Usher,r&b,2005,0.5351,0.7952,0.6804,0.2873,0.0155,0.1288,140.4,-6.7,216481,56
Glow Break,Kanye West,hip-hop,2020,0.7527,0.6727,0.4796,0.0225,0.0102,0.3557,84.6,-6.7,169863,80
Break Wild Sunset,Kanye West,hip-hop,2014,0.8645,0.7027,0.3502,0.0493,0.0338,0.2208,106.3,-6.1,250292,53
Waves Shine,Maluma,latin,2001,0.7496,0.7374,0.6465,0.3014,0.0332,0.0876,115.4,-7.7,276032,94
Lost,Mac DeMarco,indie,2015,0.5616,0.6426,0.361,0.1577,0.0355,0.1071,133.9,-6.8,128308,58
Silver Stay Glow,Mac DeMarco,indie,2022,0.3875,0.6771,0.2104,0.5545,0.1327,0.0508,110.4,-5.6,202905,24
Shine Pulse Dance,Jason Aldean,country,2017,0.7014,0.6347,0.7222,0.4908,0.0,0.022,141.3,-7.1,203620,60
Gold,H.E.R.,r&b,1998,0.5169,0.3286,0.4406,0.5974,0.0,0.0808,80.7,-6.3,219967,19
Midnight Lost,Ed Sheeran,pop,2001,0.8757,0.8227,0.8567,0.065,0.0037,0.0,110.9,-6.1,229544,63
Lost Silver,Justin Bieber,pop,1994,0.6296,0.7434,0.7201,0.0357,0.0383,0.0,104.7,-3.8,156395,43
Blue Rise Shine,Bon Iver,indie,2017,0.6403,0.533,0.2471,0.5997,0.0961,0.0423,133.0,-14.4,231336,54
Pulse Shadow Crystal,Alicia Keys,r&b,2024,0.8546,0.8024,0.463,0.3007,0.042,0.1056,113.4,-7.1,167797,66
Midnight High,Justin Bieber,pop,1994,0.772,0.7151,0.4243,0.1878,0.0338,0.1254,124.0,-6.9,234992,64
Break,The Weeknd,pop,2023,0.3708,0.6647,0.5481,0.0,0.0447,0.072,139.9,-7.7,265638,52
Dreams,Daddy Yankee,latin,2023,0.6681,0.6632,0.9674,0.144,0.0,0.0799,118.0,-11.5,270027,62
Home Pulse,Ed Sheeran,pop,2002,0.6385,0.744,0.3581,0.2401,0.0167,0.0443,129.5,-1.5,267513,49
Sunset Neon Rush,Olivia Rodrigo,pop,2003,0.5114,0.6379,0.3293,0.1131,0.082,0.0919,106.9,-4.3,168148,43
Fever,Deadmau5,electronic,2000,0.6729,1.0,0.3119,0.0096,0.1094,0.1222,103.2,-6.5,275107,62
Fall Light,Karol G,latin,1993,0.8246,0.6432,0.4457,0.2492,0.0242,0.0837,155.1,-7.4,289876,54
Blue Glow Neon,Ozuna,latin,2022,0.8101,0.664,0.8148,0.2633,0.0366,0.0799,136.1,-6.6,178896,94
Light Low,Coldplay,rock,1996,0.5176,0.9885,0.4521,0.1139,0.0699,0.0285,120.6,-4.9,238328,46
Low,Shakira,latin,1997,0.8328,0.8204,0.664,0.2509,0.0255,0.0511,91.9,-3.3,278275,42
Storm,Red Hot Chili Peppers,rock,1999,0.5284,0.7918,0.6938,0.0211,0.0268,0.0799,135.7,-5.5,227575,49
